,Pinf/P0=1.0000,Pinf/P0=0.9800,Pinf/P0=0.9700,Pinf/P0=0.9608,Pinf/P0=0.9500,Pinf/P0=0.9000,Pinf/P0=0.8000,Pinf/P0=0.7000,Pinf/P0=0.6000,Pinf/P0=0.5000,Pinf/P0=0.4350,Pinf/P0=0.4336,Pinf/P0=0.4000,Pinf/P0=0.3000,Pinf/P0=0.2000,Pinf/P0=0.1000,Pinf/P0=0.0400,Pinf/P0=0.0000
0.5,0.0,,,,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245,0.549650621763245
0.55,0.0,,,,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292,0.6790288557101292
0.6000000000000001,0.0,,,,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521,0.8350568678477521
0.65,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7000000000000001,0.0,,,,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668,1.2137532652831668
0.75,0.0,,,,0.6706391833564305,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883,1.4250477044235883
0.8,0.0,,,,0.540139287764101,0.5832817813644401,1.6398625891430545,1.6398625891430545,1.6398625891430545,1.6398625891430545,1.6398625891430545,1.6398625891430545,1.6398625891430545,1.6398625891430545,1.6398625891430545,1.6398625891430545,1.6398625891430545,1.6398625891430545
0.8500000000000001,0.0,,,,0.43690863952893755,0.4661069378573824,0.5410504113752328,1.8521267975873865,1.8521267975873865,1.8521267975873865,1.8521267975873865,1.8521267975873865,1.8521267975873865,1.8521267975873865,1.8521267975873865,1.8521267975873865,1.8521267975873865,1.8521267975873865
0.9,0.0,,,,0.3557533705905087,0.377262544459666,0.42994363921101736,0.5021562997776908,2.0578584311908963,2.0578584311908963,2.0578584311908963,2.0578584311908963,2.0578584311908963,2.0578584311908963,2.0578584311908963,2.0578584311908963,2.0578584311908963,2.0578584311908963
0.9500000000000001,0.0,,,,0.2921697266995102,0.30880786066214233,0.34866628588210236,0.4008073820153227,0.4725592293261418,2.2549524044618185,2.2549524044618185,2.2549524044618185,2.2549524044618185,2.2549524044618185,2.2549524044618185,2.2549524044618185,2.2549524044618185,2.2549524044618185
1.0,0.0,,,,0.2422811515839879,0.25557409489086713,0.2870375399729744,0.32724863006773275,0.38039211272909823,0.4537787520482156,0.5184626155472022,2.4426122188153516,2.4426122188153516,2.4426122188153516,2.4426122188153516,2.4426122188153516,2.4426122188153516,2.4426122188153516
