,Pinf/P0=1.0000,Pinf/P0=0.9800,Pinf/P0=0.9700,Pinf/P0=0.9608,Pinf/P0=0.9500,Pinf/P0=0.9000,Pinf/P0=0.8000,Pinf/P0=0.7000,Pinf/P0=0.6000,Pinf/P0=0.5000,Pinf/P0=0.4350,Pinf/P0=0.4336,Pinf/P0=0.4000,Pinf/P0=0.3000,Pinf/P0=0.2000,Pinf/P0=0.1000,Pinf/P0=0.0400,Pinf/P0=0.0000
0.5,1.0,,,,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446,0.8143719062829446
0.55,1.0,,,,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942,0.7343787100814942
0.6000000000000001,1.0,,,,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082,0.6332101632217082
0.65,1.0,,,,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742,0.5282817877171742
0.7000000000000001,1.0,,,,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167,0.40502248424414167
0.75,1.0,,,,0.7320486273604545,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474,0.3033100853959474
0.8,1.0,,,,0.8114507114489563,0.7480139556696177,0.22172822742378992,0.22172822742378992,0.22172822742378992,0.22172822742378992,0.22172822742378992,0.22172822742378992,0.22172822742378992,0.22172822742378992,0.22172822742378992,0.22172822742378992,0.22172822742378992,0.22172822742378992
0.8500000000000001,1.0,,,,0.8679880478880434,0.811556252270248,0.6941405672505891,0.16066864367431485,0.16066864367431485,0.16066864367431485,0.16066864367431485,0.16066864367431485,0.16066864367431485,0.16066864367431485,0.16066864367431485,0.16066864367431485,0.16066864367431485,0.16066864367431485
0.9,1.0,,,,0.9067103988602183,0.8537036264364423,0.7460208600027288,0.6346331201618604,0.11678897838672438,0.11678897838672438,0.11678897838672438,0.11678897838672438,0.11678897838672438,0.11678897838672438,0.11678897838672438,0.11678897838672438,0.11678897838672438,0.11678897838672438
0.9500000000000001,1.0,,,,0.9326806971177868,0.8815629053757565,0.7787853154865049,0.674903093822237,0.5689838581769397,0.08581395959470935,0.08581395959470935,0.08581395959470935,0.08581395959470935,0.08581395959470935,0.08581395959470935,0.08581395959470935,0.08581395959470935,0.08581395959470935
1.0,1.0,,,,0.9500000000000012,0.9000000000000008,0.8,0.7000000000000004,0.599999999999996,0.4999999999994428,0.4349999999999909,0.0639995674789236,0.0639995674789236,0.0639995674789236,0.0639995674789236,0.0639995674789236,0.0639995674789236,0.0639995674789236
